"Country","Life_expectancy","GDP"
"Afghanistan",65,584.25921
"Albania",77.8,3954.22783
"Algeria",75.6,4132.76292
"Angola",52.4,3695.793748
"Antigua and Barbuda",76.4,13566.9541
"Argentina",76.3,13467.1236
"Armenia",74.8,369.654776
"Australia",82.8,56554.3876
"Austria",81.5,43665.947
"Azerbaijan",72.7,55.31382
"Bahrain",76.9,22688.87824
"Bangladesh",71.8,121.15812
"Barbados",75.5,15557.8381
"Belarus",72.3,5949.11677
"Belgium",81.1,4356.875
"Belize",71,4849.997495
"Benin",60,783.94791
"Bhutan",69.8,2613.645177
"Bosnia and Herzegovina",77.4,4574.9787
"Botswana",65.7,6532.651
"Brazil",75,8757.2622
"Brunei Darussalam",77.7,3967.8951
"Bulgaria",74.5,6993.47736
"Burkina Faso",59.9,615.592225
"Burundi",59.6,33.681223
"Cabo Verde",73.3,2954.119467
"Cambodia",68.7,1163.18977
"Cameroon",57.3,1244.429421
"Canada",82.2,43315.744
"Central African Republic",52.5,348.381417
"Chad",53.1,777.248751
"Chile",85,13653.2264
"China",76.1,869.211938
"Colombia",74.8,644.525556
"Comoros",63.5,727.6463868
"Costa Rica",79.6,1146.36273
"Croatia",78,11579.6674
"Cuba",79.1,762.261218
"Cyprus",85,2375.1127
"Denmark",86,5314.64416
"Djibouti",63.5,1862.167274
"Dominican Republic",73.9,6468.471648
"Ecuador",76.2,625.62224
"El Salvador",73.5,4127.11775
"Equatorial Guinea",58.2,1347.31257
"Estonia",77.6,1774.9291
"Ethiopia",64.8,645.4637627
"Fiji",69.9,4921.89629
"Finland",81.1,4245.39744
"France",82.4,36526.7711
"Gabon",66,7388.984144
"Georgia",74.4,3764.64912
"Germany",81,41176.88158
"Ghana",62.4,1361.11395
"Greece",81,187.78991
"Grenada",73.6,9212.192824
"Guatemala",71.9,3923.573344
"Guinea",59,554.48766
"Guinea-Bissau",58.9,596.8717189
"Guyana",66.2,4136.689919
"Haiti",63.5,814.5463952
"Honduras",74.6,2326.15856
"Hungary",75.8,12365.6263
"Iceland",82.7,5734.4436
"India",68.3,1613.18878
"Indonesia",69.1,3336.16686
"Iraq",68.9,4974.2693
"Ireland",81.4,6664.144
"Israel",82.5,35729.37253
"Italy",82.7,349.14755
"Jamaica",76.2,4965.989857
"Japan",83.7,34474.13736
"Jordan",74.1,496.99275
"Kazakhstan",72,159.9817
"Kenya",63.4,1349.97144
"Kiribati",66.3,1424.483611
"Kuwait",74.7,28975.418
"Latvia",74.6,13666.58336
"Lebanon",74.9,846.632851
"Lesotho",53.7,173.82893
"Liberia",61.4,452.38717
"Lithuania",73.6,14252.42853
"Luxembourg",82,1199.8223
"Madagascar",65.5,41.8575951
"Malawi",58.3,362.6575444
"Malaysia",75,9643.644683
"Maldives",78.5,8395.785198
"Mali",58.2,729.725338
"Malta",81.7,23819.4636
"Mauritania",63.1,1158.256469
"Mauritius",74.6,9252.11724
"Mexico",76.7,9143.128494
"Mongolia",68.8,3944.1839
"Montenegro",76.1,6461.192554
"Morocco",74.3,2847.285569
"Mozambique",57.6,528.3125597
"Myanmar",66.6,1194.59137
"Namibia",65.8,4737.66996
"Nepal",69.2,743.7653489
"Netherlands",81.9,44292.88473
"New Zealand",81.6,3821.8937
"Nicaragua",74.8,295.966488
"Niger",61.8,358.99731
"Nigeria",54.5,2655.157977
"Norway",81.8,7455.24654
"Oman",76.6,16627.36433
"Pakistan",66.4,1431.244865
"Panama",77.8,13134.4367
"Paraguay",74,419.367724
"Peru",75.5,63.343259
"Philippines",68.5,2878.33837
"Poland",77.5,12565.9876
"Portugal",81.1,1922.681
"Qatar",78.2,66346.52267
"Romania",75,8958.788593
"Russian Federation",75,9329.298351
"Rwanda",66.1,71.348397
"Samoa",74,4149.363444
"Sao Tome and Principe",67.5,1624.63963
"Saudi Arabia",74.5,2732.86172
"Senegal",66.7,98.7256145
"Serbia",75.6,5237.255334
"Seychelles",73.2,1539.464
"Sierra Leone",51,587.538233
"Singapore",83.1,53629.73746
"Slovenia",88,2729.86383
"Solomon Islands",69.2,1922.41388
"Somalia",55,426.98537
"South Africa",62.9,5769.77258
"Spain",82.8,25683.84565
"Sri Lanka",74.9,3844.89123
"Suriname",71.6,8818.982566
"Swaziland",58.9,3136.92511
"Sweden",82.4,5585.25847
"Switzerland",83.4,8989.8424
"Tajikistan",69.7,918.6771543
"Thailand",74.9,5814.863134
"Timor-Leste",68.3,1161.76935
"Togo",59.9,551.138346
"Tonga",73.5,493.775387
"Trinidad and Tobago",71.2,17321.83373
"Tunisia",75.3,3828.91589
"Turkey",75.8,1979.52569
"Turkmenistan",66.3,6432.668768
"Uganda",62.3,693.8963829
"Ukraine",71.3,2124.662666
"United Arab Emirates",77.1,3911.74689
"Uruguay",77,15524.84247
"Uzbekistan",69.4,2137.576852
"Vanuatu",72,285.83414
"Zambia",61.8,1313.889646
"Zimbabwe",67,118.69383
